Banco de México,,,,
,,,,
Tasas y precios de referencia,,,,
Valores Públicos,,,,
,,,,
Fecha de consulta: 19/05/2020 01:31:49,,,,
,,,,
,,,,
,,,,
Título,TIIE a 1 dia ,"TIIE a 28 días, Tasa de interés promedio mensual, en por ciento anual","Fondeo promedio ponderado bancario, Tasa de interés promedio mensual, en por ciento anual","Cetes 28 días, Tasa de rendimiento promedio mensual, en por ciento anual"
Periodo disponible,Ene 2006 - Abr 2020,Mar 1995 - Abr 2020,Nov 1998 - Abr 2020,Ene 1978 - Abr 2020
Periodicidad,Mensual,Mensual,Mensual,Mensual
Cifra,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Unidad,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Base,,,,
Aviso,,,,
Tipo de información,Niveles,Niveles,Niveles,Niveles
Fecha,SF331450,SF283,SF17863,SF282
01/06/2014,3.15,3.43,3.11,3.02
01/07/2014,3.02,3.3,3,2.83
01/08/2014,3.05,3.3,3.01,2.77
01/09/2014,3.02,3.29,3,2.83
01/10/2014,3.04,3.29,3.01,2.9
01/11/2014,3.05,3.29,3.02,2.85
01/12/2014,3.08,3.3,3.05,2.81
01/01/2015,3.04,3.3,3.01,2.67
01/02/2015,3.06,3.3,3.03,2.81
01/03/2015,3.07,3.3,3.05,3.04
01/04/2015,3.04,3.3,3.02,2.97
01/05/2015,3.02,3.3,3,2.98
01/06/2015,3.1,3.3,3.07,2.96
01/07/2015,3.1,3.3,3.07,2.99
01/08/2015,3.08,3.32,3.03,3.04
01/09/2015,3.07,3.33,3.03,3.1
01/10/2015,3.04,3.31,3.02,3.02
01/11/2015,3.07,3.32,3.05,3.02
01/12/2015,3.24,3.42,3.21,3.14
01/01/2016,3.28,3.56,3.27,3.08
01/02/2016,3.49,3.75,3.48,3.36
01/03/2016,3.79,4.06,3.77,3.8
01/04/2016,3.77,4.06,3.74,3.74
01/05/2016,3.8,4.08,3.77,3.81
01/06/2016,3.83,4.1,3.8,3.81
01/07/2016,4.26,4.56,4.24,4.21
01/08/2016,4.29,4.59,4.27,4.24
01/09/2016,4.33,4.61,4.3,4.28
01/10/2016,4.77,5.11,4.75,4.69
01/11/2016,5,5.34,4.98,5.15
01/12/2016,5.57,5.84,5.57,5.61
01/01/2017,5.77,6.13,5.77,5.83
01/02/2017,6.13,6.44,6.12,6.06
01/03/2017,6.31,6.63,6.29,6.32
01/04/2017,6.58,6.87,6.55,6.5
01/05/2017,6.63,6.98,6.62,6.56
01/06/2017,6.85,7.21,6.83,6.82
01/07/2017,7.06,7.37,7.05,6.99
01/08/2017,7.04,7.38,7.03,6.94
01/09/2017,7.05,7.38,7.03,6.99
01/10/2017,7.04,7.38,7.02,7.03
01/11/2017,7.03,7.38,7.02,7.02
01/12/2017,7.22,7.51,7.21,7.17
01/01/2018,7.29,7.64,7.29,7.25
01/02/2018,7.49,7.78,7.49,7.4
01/03/2018,7.57,7.83,7.56,7.47
01/04/2018,7.54,7.84,7.53,7.46
01/05/2018,7.58,7.85,7.56,7.51
01/06/2018,7.64,7.93,7.63,7.64
01/07/2018,7.81,8.1,7.79,7.73
01/08/2018,7.8,8.11,7.79,7.73
01/09/2018,7.81,8.11,7.79,7.69
01/10/2018,7.81,8.12,7.81,7.69
01/11/2018,7.93,8.25,7.93,7.83
01/12/2018,8.19,8.41,8.18,8.02
01/01/2019,8.26,8.59,8.28,7.95
01/02/2019,8.26,8.56,8.29,7.93
01/03/2019,8.26,8.52,8.28,8.02
01/04/2019,8.27,8.5,8.29,7.78
01/05/2019,8.29,8.51,8.3,8.07
01/06/2019,8.27,8.51,8.28,8.25
01/07/2019,8.28,8.48,8.28,8.14
01/08/2019,8.16,8.37,8.16,8.01
